Department,publishercode,author,title,Count
H & AS,Khanna Publication,Dr. Grewal B.S.,HIGHER ENGINEERING MATHEMATICS,15
H & AS,JOHN WILEY,ERWIN KREYSZIG,ADVANCED ENGINEERING MATHEMATICS,9
H & AS,S. CHAND,DASS. H. K.,ADVANCED ENGINEERING MATHEMATICS,7
H & AS,PUNE VIDYARTHI GRIHA,WARTIKAR P.N.,A TEXTBOOK OF APPLIED MATHEMATICS VOL- I,19
H & AS,PUNE VIDYARTHI GRIHA,WARTIKAR J.N.,A TEXTBOOK OF APPLIED MATHEMATICS- VOL- II,20
H & AS,PUNE VIDYARTHI GRIHA,WARTIKAR P.N.,A TEXTBOOK OF APPLIED MATHEMATICS - VOL- III,6
H & AS,NEW AGE,JAIN M.K.,NUMERICAL METHODS FOR SCIENTIFIC & ENGINEERING COMPUTATION,5
H & AS,TMGH,BALAGURUSAMY E.,NUMERICAL METHODS,7
H & AS,MACMILLAN,RAJU N. KRISHNA,NUMERICAL METHODS FOR ENGINEERING PROBLEMS,3
H & AS,PRENTICE HALL INDIA,SASTRY S.S.,INTRODUCTORY METHODS OF NUMERICAL ANALYSIS,9
H & AS,B.S.PUBLICATION,SUBRAMANYAM P.S.,NUMERICAL METHOD WITH ' C ' PROGRAMMING,3
H & AS,TMGH,CHAPRA STEVEN C.,NUMERICAL METHODS FOR ENGINEERS,4
H & AS,TMGH,CHAPRA STEVEN C.,NUMERICAL METHODS FOR ENGINEERS WITH SOFTWARE & PROGRAMMING APPLICATIONS,6
H & AS,C. JAMNADAS,KUMBHOJKAR G.V.,APPLIED MATHEMATICS- SEM- I,28
H & AS,TMGH,RAMANA B.V.,APPLIED MATHEMATICS- SEM- I,3
H & AS,C. JAMNADAS,KUMBHOJKAR G.V.,APPLIED MATHEMATICS- SEM- II,25
H & AS,PHI,SASTRI S.S.,ENGINEERING MATHEMATICS - VOL- I,7
H & AS,PHI,SASTRY S.S.,ENGINEERING MATHEMATICS - VOL- II,10
